created_at,author.username,author.name,author.description,author.verified,type,text,public_metrics.retweet_count,public_metrics.like_count,public_metrics.reply_count,public_metrics.quote_count,tweet_url,lang,geo.full_name
2023-08-21 19:36:00+00:00,business,Bloomberg,The first word in business news. \nNewsletters: https://t.co/nWaCxHSKuU \nPodcasts: https://t.co/096e9xMbPz \nIndia Edition Newsletter: https://t.co/jNHJbY5XBf,True,original,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/4WS17VTSTL https://t.co/wuu1BvVr8M,1,15,5,0,https://twitter.com/business/status/1693708548491051104,en,
2023-08-21 19:36:00+00:00,BloombergAfrica,Bloomberg Africa,The official Twitter account for Bloomberg in Africa. Follow for the latest in business and politics. Sign up for our newsletter: https://t.co/3fwEaGMWNM,True,original,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/DMVIwoy9ax https://t.co/BicQbbje8a,5,7,0,0,https://twitter.com/BloombergAfrica/status/1693708548490842599,en,
2023-08-21 19:19:18+00:00,baekhapbrain,1111,25 | 𝔰𝔭𝔞𝔪 𝔱𝔴𝔱 | 𝔪𝔞𝔦𝔫 @floralfinisher,False,reply,and trying to find anything similar off shein is IMPOSSIBLE. fast fashion is TAKING OVER,0,0,0,0,https://twitter.com/baekhapbrain/status/1693704346167304351,en,
2023-08-21 19:11:06+00:00,brotpilze,keefy,╰┈➤ 18↑┊͙gacha rage first human second ☆彡 ੈ✩‧₊˚: ̗̀➛ mostly heliosr & hypmic,False,reply,"@JoobsAres UR SO ABSOLUTELY RIGHT. atp it‘s treated as some fashion trend. i remember it was especially bad during 2020 when people would make tiktoks about punk clothes on SHEIN. she-fucking-in, as if punk isn‘t against the idea of fast fashion, it had to be the most harmful company too.",0,1,2,0,https://twitter.com/brotpilze/status/1693702285056971039,en,
2023-08-21 18:36:16+00:00,c_dynmar,Chi!,Living....Fully committed to a life of enjoyment……see header for more context,False,retweet,"@_Phoenixblvck Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️ https://t.co/HF5b5vdre1",4,1,0,0,https://twitter.com/c_dynmar/status/1693693519414821273,en,
2023-08-21 18:06:04+00:00,Jacopomutta,Candreva,Riconoscente verso Il Coach //\nDest-Giulia Leonardi e pescivendolo hater//\nCultore del brahimismo,False,reply,@zaccavgni Non te ma Shein come brand fast fashion.,0,0,1,0,https://twitter.com/Jacopomutta/status/1693685915401498704,en,
2023-08-21 17:59:40+00:00,Greenlulu2,Greenlulu,,False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/Greenlulu2/status/1693684305786999072,fr,
2023-08-21 17:18:30+00:00,GlobalEdmonton,Global Edmonton,Our City. Our News.,False,original,"The app has earned comparisons to ultra-fast-fashion giant Shein among industry observers for its factory-to-consumer business model, but the breadth of products available on the marketplace go beyond apparel, giving it more similarities to Amazon.\n\n https://t.co/RFIWbpVBT4",0,0,2,0,https://twitter.com/GlobalEdmonton/status/1693673946422362158,en,
2023-08-21 16:53:45+00:00,veterof76,veterof76,RT is not endorsement,False,original,I'm calling on @Shein_Official to end their complicity in #UyghurForcedLabor. https://t.co/fFcKIAfxJV,0,0,0,0,https://twitter.com/veterof76/status/1693667718271041757,en,
2023-08-21 16:52:56+00:00,wulanrevan,Violet Isabel,"Freelance writer & Yoga enthusiast. Passionate about healthy living, travel, and personal development.",False,retweet,“The Birth of Shein”\n\nPhotographer Samuel Greenhill staged this photo in protest of the fast fashion brand launching a pop-up in Ohio https://t.co/0oDok4Tybr,714,1841,2,13,https://twitter.com/wulanrevan/status/1693667513358516428,en,
2023-08-21 16:52:43+00:00,Djoanarcho,BZH 🏴‍☠️🏴,"La dictature s’épanouit sur le terreau de l’ignorance, G. Orwell",False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/Djoanarcho/status/1693667460086465011,fr,
2023-08-21 16:50:05+00:00,steampunkactu,SteamPunk Lady,,False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/steampunkactu/status/1693666794689396843,fr,
2023-08-21 16:40:33+00:00,Przemek_Filar,Przemysław Filar,Założyciel Towarzystwa Upiększania Miasta Wrocławia\n@P_Filar@mastodon.social,False,retweet,MAGAZYN SPIDER'S WEB+:  Wszystkie grzechy Shein. Zarobek na niszczeniu nam życia\nhttps://t.co/yJnsL6YPBw #spidersweb #spiderswebplus,1,0,0,0,https://twitter.com/Przemek_Filar/status/1693664396621365264,pl,
2023-08-21 16:18:37+00:00,przemyslawp67,Przemysław,,False,retweet,"🚨Shein to zło w czystej postaci, które powinno być bojkotowane.\n\n👉 niebezpieczne materiały\n👉 masowa produkcja\n👉 uzależniająca aplikacja\n👉promocja u influencerow\n👉 drakońskie warunki w szwalniach\n\nWięcej w txt @Basia_Erling: https://t.co/rm0kIxXKdq",11,72,9,5,https://twitter.com/przemyslawp67/status/1693658877311484324,pl,
2023-08-21 16:07:17+00:00,MrKalevor,honorary 30+ 🧍🏾,fate. agnostic. anime. volleyball. marine science student. Chelsea. Real Madrid. M.anifest. preferences shouldn't obstruct analysis. sc: kalevor.,False,retweet,"Looking for affordable thrift corsets, body suits and tops?\nSearch no more! 🤭\n\nLuxe thrift got you covered with the best quality from UK/US fast fashion brands like Shein, Zara , Boohoo etc\n\nHit the follow button and turn on your notifications ❤️ https://t.co/PnV1SoqSwF",9,7,0,1,https://twitter.com/MrKalevor/status/1693656024526279129,en,
2023-08-21 15:49:56+00:00,ArxJess91075,Jess ARX,,False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/ArxJess91075/status/1693651657588982212,fr,
2023-08-21 15:26:51+00:00,BudnerAw,Miecznik,,False,retweet,"🚨Shein to zło w czystej postaci, które powinno być bojkotowane.\n\n👉 niebezpieczne materiały\n👉 masowa produkcja\n👉 uzależniająca aplikacja\n👉promocja u influencerow\n👉 drakońskie warunki w szwalniach\n\nWięcej w txt @Basia_Erling: https://t.co/rm0kIxXKdq",11,72,9,5,https://twitter.com/BudnerAw/status/1693645849450926490,pl,
2023-08-21 15:10:24+00:00,parinitakapoor,parinita kapoor,,False,retweet,"@SHEIN_Official and @shoptemu have changed the game in the US fast-fashion market,  leaving @hm, @ZARA in the dust! Here’s the rundown of their EPIC battle, made in China and playing out in the US!👇🏼 [🧵 1/19] https://t.co/WeTA2xeptO",4,9,1,2,https://twitter.com/parinitakapoor/status/1693641709303820698,en,
2023-08-21 15:04:17+00:00,AM_Zukowska,Anna-Maria Żukowska 💁🏻‍♀️ #Lewica 🇵🇱🏳️‍🌈🇺🇦,"prawniczka, anglistka, współprzewodnicząca Nowej Lewicy w Warszawie, członkini Zarządu Krajowego partii. Posłanka z Warszawy: 📸 Ig: anna_maria_zukowska ona/jej",False,retweet,"🚨Shein to zło w czystej postaci, które powinno być bojkotowane.\n\n👉 niebezpieczne materiały\n👉 masowa produkcja\n👉 uzależniająca aplikacja\n👉promocja u influencerow\n👉 drakońskie warunki w szwalniach\n\nWięcej w txt @Basia_Erling: https://t.co/rm0kIxXKdq",11,72,9,5,https://twitter.com/AM_Zukowska/status/1693640171961418004,pl,
2023-08-21 14:41:13+00:00,raymarket111697,raymarket,,False,retweet,Influencer backlash is the latest threat to Shein’s IPO plans https://t.co/BkxBJVsi6h via @BW \n\n#social #media #influencers #influencer #marketing #fast #fashion #apparel #garments #work #labor #china #factory #garment #advertising #advertisement,1,1,1,0,https://twitter.com/raymarket111697/status/1693634365438165396,en,
2023-08-21 14:37:37+00:00,ZZeester,zeester Zeester,"De menselijke geest is de kracht die de wereld beweegt, niet dwang.",False,retweet,"@SHEIN_Official shine a light on Shein’s alleged reliance on forced labor there is an urgency to demand accountability, transparency and cooperation from these fast-fashion giants. Shein’s cheap fast fashion cannot come at the price of egregious human rights abuses. \n\nhttps://t.co/aDNPSTZWJ8 https://t.co/2pbgNVAmAj",1,0,0,0,https://twitter.com/ZZeester/status/1693633458692608298,en,
2023-08-21 13:56:58+00:00,m1ouuu,Ｍｉｏｕ 🍣🇫🇷,JE SUIS UNE 🚺 | appelez moi Miou-miou | ฅ^•ﻌ•^ฅ |,False,reply,"@NayarJrr @keyna213_ Bah acheter moins mais acheter mieux ça se fait, t’es pas obligé d’aller sur de l’ultra fast fashion comme Shein",0,0,2,0,https://twitter.com/m1ouuu/status/1693623229124846059,fr,
2023-08-21 13:49:40+00:00,Orayzeee,Oritsesisan,"dark & petite, fine & discrete",False,retweet,"@Symply_Tacha Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️",1,0,0,0,https://twitter.com/Orayzeee/status/1693621391570907247,en,
2023-08-21 13:34:16+00:00,anuragabbott,Anurag Abbott,Co-founder @synaptic_data,False,retweet,"@SHEIN_Official and @shoptemu have changed the game in the US fast-fashion market,  leaving @hm, @ZARA in the dust! Here’s the rundown of their EPIC battle, made in China and playing out in the US!👇🏼 [🧵 1/19] https://t.co/WeTA2xeptO",4,9,1,2,https://twitter.com/anuragabbott/status/1693617516801638845,en,
2023-08-21 13:27:36+00:00,ConConcarroll1,Con Carroll,,False,original,"Say NO to Fast Fashion Exploitation! Garment workers endure inhumane conditions, child labor, and modern slavery. Boycott SHEIN and demand fair treatment for workers! https://t.co/6v7oJS5gur via @UpliftIRL",0,0,0,0,https://twitter.com/ConConcarroll1/status/1693615839201599622,en,
2023-08-21 13:12:36+00:00,AlinPiyaya,Alin Piyaya,Earth lover,False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/AlinPiyaya/status/1693612065498300774,fr,
2023-08-21 13:11:54+00:00,dasgupta_i94033,Ipsita Dasgupta,,False,retweet,"@SHEIN_Official and @shoptemu have changed the game in the US fast-fashion market,  leaving @hm, @ZARA in the dust! Here’s the rundown of their EPIC battle, made in China and playing out in the US!👇🏼 [🧵 1/19] https://t.co/WeTA2xeptO",4,9,1,2,https://twitter.com/dasgupta_i94033/status/1693611888506982910,en,
2023-08-21 13:00:38+00:00,synaptic_data,Synaptic,Synaptic helps data-driven investors get market insights from a wide spectrum of #AlternativeData on a single no-code platform,True,reply,"Shein and Temu have completely reshaped fast fashion! \nBut, their success throws up many questions - is this business model sustainable/profitable? Will these giants replicate their success in other e-comm categories? And how will US regulators react to these players? [🧵 19/19]",0,2,1,0,https://twitter.com/synaptic_data/status/1693609050804748639,en,
2023-08-21 13:00:31+00:00,synaptic_data,Synaptic,Synaptic helps data-driven investors get market insights from a wide spectrum of #AlternativeData on a single no-code platform,True,reply,"Towards the end of 2022, Shein looked like an unstoppable fast-fashion behemoth. But its scintillating success in the US had not gone unnoticed among other Chinese e-commerce giants. Enter Temu… [🧵 9/19]",0,2,1,0,https://twitter.com/synaptic_data/status/1693609023915036697,en,
2023-08-21 13:00:30+00:00,synaptic_data,Synaptic,Synaptic helps data-driven investors get market insights from a wide spectrum of #AlternativeData on a single no-code platform,True,reply,"While super-low prices were a big driver of Shein’s success, another remarkable disruption that Shein brought was speed - fast fashion turned ultra-fast. Shein adds an avg. ~6,000 new styles on its platform every day! [🧵 7/19]",0,3,1,0,https://twitter.com/synaptic_data/status/1693609018835796244,en,
2023-08-21 13:00:28+00:00,synaptic_data,Synaptic,Synaptic helps data-driven investors get market insights from a wide spectrum of #AlternativeData on a single no-code platform,True,reply,"@SHEIN_Official  saw remarkable growth over 2021 and 2022 with estimated revenues of $16B and $30B. In the latter half of 2022, Shein was pulling more in sales than fast fashion giants H&amp;M and Zara combined! This culminated in a $100B+ valuation in 2022! [🧵 5/19] https://t.co/lc4yY0G42C",0,3,1,0,https://twitter.com/synaptic_data/status/1693609012296864097,en,
2023-08-21 13:00:26+00:00,synaptic_data,Synaptic,Synaptic helps data-driven investors get market insights from a wide spectrum of #AlternativeData on a single no-code platform,True,original,"@SHEIN_Official and @shoptemu have changed the game in the US fast-fashion market,  leaving @hm, @ZARA in the dust! Here’s the rundown of their EPIC battle, made in China and playing out in the US!👇🏼 [🧵 1/19] https://t.co/WeTA2xeptO",4,9,1,2,https://twitter.com/synaptic_data/status/1693609001190354945,en,
2023-08-21 12:45:08+00:00,_judyjackyyyy,YOUR PERFUME OIL PLUG🇬🇭 🦋💕,Smelling good is a MUST.🙈\n\nShop 🛍 : @JPerfumeoils,False,retweet,"Looking for affordable thrift corsets, body suits and tops?\nSearch no more! 🤭\n\nLuxe thrift got you covered with the best quality from UK/US fast fashion brands like Shein, Zara , Boohoo etc\n\nHit the follow button and turn on your notifications ❤️ https://t.co/PnV1SoqSwF",9,7,0,1,https://twitter.com/_judyjackyyyy/status/1693605150827385316,en,
2023-08-21 12:34:01+00:00,Y_igriega,Chris Johnson,En una ocasión un marinero americano se encontró con una andaluza en mallorca. De esa unión nació este chico... Level XXXV,False,original,"Temu's aim is to compete with the likes of Amazon and Walmart in the US and, earlier this year, Shein started rolling out marketplaces selling goods from local vendors alongside their own products in North America, Brazil and Mexico. https://t.co/oEqOb7JTo2 https://t.co/Enuxx34XRi",0,0,0,0,https://twitter.com/Y_igriega/status/1693602352509436258,en,
2023-08-21 12:25:37+00:00,Natalie24914765,Natalie Thomas,"Neurodivergent+, positive & motivated, passionate, and helpful. A Master of online & offline activism & environmentalism,life long learner, Research&Consultancy",False,original,I'm calling on @Shein_Official to end their complicity in #UyghurForcedLabor. https://t.co/VgHXQBuCq1,0,0,0,0,https://twitter.com/Natalie24914765/status/1693600240530563494,en,
2023-08-21 12:07:04+00:00,ContactSaturnin,Saturnin,"Je ne fais que passer, faites pas attention.",False,retweet,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/ContactSaturnin/status/1693595570433093720,fr,
2023-08-21 12:00:00+00:00,Mondi_Alisation,Mr Mondialisation,"Média indépendant, environnementaliste, humaniste et décroissant.\n\nPour nous soutenir : https://t.co/TFJWBxttDd",False,original,"Symbole de l’ultra fast-fashion et de ses ravages, #Shein écrase toute concurrence. À coup de milliers de vêtements produits chaque jour et de prix toujours plus bas, l’enseigne tire le secteur vers un modèle de production et de consommation intenable. https://t.co/b8anCCVjOK",6,14,1,3,https://twitter.com/Mondi_Alisation/status/1693593793474511227,fr,
2023-08-21 11:35:23+00:00,Thed3bs,Ada Dollars,Don’t stress me.  ||  Momma to @deswithtag & @des_thrift,False,reply,"@Symply_Tacha Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️",1,0,0,0,https://twitter.com/Thed3bs/status/1693587600559263957,en,
2023-08-21 11:27:30+00:00,BibliotekaUS,Biblioteka Główna US,Oficjalne konto Biblioteki Głównej Uniwersytetu Szczecińskiego // Official Account of The Main Library of The University of Szczecin,False,original,"""Shein sprzedaje odzież, która jest tanio i szybko produkowana, przez co może być sprzedawana po niewiarygodnie niskich cenach.""\n@Basia_Erling w @SpidersWebPL \n\nhttps://t.co/qaDlIc1nZs\n\n#Shein #odzież #czytamy #biblioteka #library #fyp",0,0,0,0,https://twitter.com/BibliotekaUS/status/1693585613465727220,pl,
2023-08-21 11:25:33+00:00,dcapuccio,daniel capuccio,,False,original,"I urge the Chinese government to end the #forcedlabor of Uyghurs and other Turkic and Muslim-majority ethnic groups, and to immediately release and return them home. #FreeUyghurs @FreedomUnitedHQ https://t.co/urk8Hgzy4r",0,0,0,0,https://twitter.com/dcapuccio/status/1693585125596872991,en,
2023-08-21 10:56:53+00:00,BassDeity99,BasilisQueen,"🏳️‍🌈🏳️‍⚧️ LG(TB), she/her, +20. Esto no será mi pañuelo virtual ni voy a contar mi vida aquí. Si alguien necesita hablar, por MD.",False,retweet,"I've just ran into a very helpful website called ""Ethically Dresssed"" - that show the list of designs made by small businesses, that were stollen by fast fashion stores like Shein, Ali, Temu, etc\nThis is so cool and helpful, feel free to take a look and support small businesses! https://t.co/Rt4618EuKn",2,13,1,0,https://twitter.com/BassDeity99/status/1693577909980508258,en,
2023-08-21 10:52:37+00:00,Des_Thrift,DES_THRIFT ON INSTAGRAM,we source stylish clothes for the everyday WOMAN. nationwide delivery 📦 Instagram : des_thrift . Delayed dm Response? send us a WhatsApp msg through link 👇🏽,False,retweet,"@_Phoenixblvck Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️ https://t.co/HF5b5vdre1",4,1,0,0,https://twitter.com/Des_Thrift/status/1693576835794190338,en,
2023-08-21 10:52:28+00:00,DesWithtag,THE PERSONAL SHOPPER,"Shop all your Fast fashion brands like SHEIN, ZARA, FASHIONVA & More📦 We shop & deliver to you stress free!  send in your carts too. IG: Deswithtag. msg 👇🏽",False,retweet,"@_Phoenixblvck Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️ https://t.co/HF5b5vdre1",4,1,0,0,https://twitter.com/DesWithtag/status/1693576798389375378,en,
2023-08-21 10:38:18+00:00,Thed3bs,Ada Dollars,Don’t stress me.  ||  Momma to @deswithtag & @des_thrift,False,reply,"@_Phoenixblvck Hii. My name is Deborah and I run two businesses. One is @Des_Thrift , we sell pre loved and budget friendly clothes for the everyday woman. The second is @DesWithtag we shop items from fast fashion like shein, fashionova etc &amp; deliver to you doorstep.  Please follow us ❤️ https://t.co/HF5b5vdre1",4,1,0,0,https://twitter.com/Thed3bs/status/1693573233222565940,en,
2023-08-21 10:29:47+00:00,caldo_ghiaccio,𝖘𝖈𝖆𝖗𝖑𝖊𝖙 𝖈𝖍¡𝖒𝖊𝖗𝖆 🇺🇦,"Val\Valeriia, cosplay photographer\#standforukraine coordinator, meow-queen, foodie. ESFP, ♉, she\her, сis, eng\de\ukr. Other side of @ghiaccio 🇺🇦🏳‍🌈",False,retweet,"I've just ran into a very helpful website called ""Ethically Dresssed"" - that show the list of designs made by small businesses, that were stollen by fast fashion stores like Shein, Ali, Temu, etc\nThis is so cool and helpful, feel free to take a look and support small businesses! https://t.co/Rt4618EuKn",2,13,1,0,https://twitter.com/caldo_ghiaccio/status/1693571090327515596,en,
2023-08-21 10:18:33+00:00,plusSizepresh,udara-mmicha 🌚🥰🦥,GOD first 🙌Exodus 14:14😊😊  Pronouns:nyem/ego,False,retweet,"Looking for affordable thrift corsets, body suits and tops?\nSearch no more! 🤭\n\nLuxe thrift got you covered with the best quality from UK/US fast fashion brands like Shein, Zara , Boohoo etc\n\nHit the follow button and turn on your notifications ❤️ https://t.co/PnV1SoqSwF",9,7,0,1,https://twitter.com/plusSizepresh/status/1693568262821302590,en,
2023-08-21 10:06:48+00:00,magdalena_sojka,Magdalena Sojka,#media #marketing #CSR #PR\nRodzic OzN ♿ #AutismAwareness \nOpinie prywatne🇺🇦🇵🇱,False,retweet,"W butach był bardzo wysoki poziom ftalanów, substancji zaburzającej gospodarkę hormonalną. W dziewczęcej sukience znaleźli formaldehyd, który może wywołać niewydolność oddechową. Oba produkty zostały kupione na @SHEIN_Official. Zapraszam do nowego SW+ https://t.co/DOIXFEscNG",4,11,1,0,https://twitter.com/magdalena_sojka/status/1693565304046002341,pl,
2023-08-21 10:01:18+00:00,bpaskal,Błażej,"Robię w fabryce. W fabryce bierzemy na warsztat materiał z #Berlaymont, przerabiamy, składamy z #Europa, kiedyś #JustusLipsius i wychodzi #AcquisCommunautaire",False,retweet,"W butach był bardzo wysoki poziom ftalanów, substancji zaburzającej gospodarkę hormonalną. W dziewczęcej sukience znaleźli formaldehyd, który może wywołać niewydolność oddechową. Oba produkty zostały kupione na @SHEIN_Official. Zapraszam do nowego SW+ https://t.co/DOIXFEscNG",4,11,1,0,https://twitter.com/bpaskal/status/1693563923704721733,pl,
2023-08-21 09:54:02+00:00,SpidersWebPL,SPIDER'S WEB,SPIDER'S WEB. TECHNOLOGIE. MOTORYZACJA. BIZNES. ROZRYWKA. #spidersweb #autoblog #bizblog #rozrywkablog #spiderswebplus,False,retweet,"W butach był bardzo wysoki poziom ftalanów, substancji zaburzającej gospodarkę hormonalną. W dziewczęcej sukience znaleźli formaldehyd, który może wywołać niewydolność oddechową. Oba produkty zostały kupione na @SHEIN_Official. Zapraszam do nowego SW+ https://t.co/DOIXFEscNG",4,11,1,0,https://twitter.com/SpidersWebPL/status/1693562094661103679,pl,
2023-08-21 09:53:58+00:00,JaM_abroad,Bundesjagl🏴‍☠️,"Things worth mentioning, occasionally things only.",True,reply,@BlakesWort https://t.co/71no0L5Upu https://t.co/ukOPKijLfC,0,0,0,0,https://twitter.com/JaM_abroad/status/1693562076038418615,qme,
2023-08-21 09:50:33+00:00,OjoObaRihanot,ReelsWithRihanot,"Mom to Inam & Isma..Gender Advocate..Kindness Ambassador, Vlogger.\nhttps://t.co/GzVJwjgZWu\n\n Kindness Is Beautiful. Spread Love and Kindness",False,retweet,"Looking for affordable thrift corsets, body suits and tops?\nSearch no more! 🤭\n\nLuxe thrift got you covered with the best quality from UK/US fast fashion brands like Shein, Zara , Boohoo etc\n\nHit the follow button and turn on your notifications ❤️ https://t.co/PnV1SoqSwF",9,7,0,1,https://twitter.com/OjoObaRihanot/status/1693561215455269313,en,
2023-08-21 09:48:56+00:00,KelsaSaljahn84,Kelsa Morgan,This is now my only account.,False,original,"I urge the Chinese government to end the #forcedlabor of Uyghurs and other Turkic and Muslim-majority ethnic groups, and to immediately release and return them home. #FreeUyghurs @FreedomUnitedHQ https://t.co/ma29BwHsGH",0,0,0,0,https://twitter.com/KelsaSaljahn84/status/1693560808406491640,en,
